[INFO]  Namespace(batch_size=128, dataset='Aier_Eye', device=device(type='cuda', index=0), embed_size=100, embedding_type='TransE', enhanced_type='none', epochs=800, gpu='4', l2_lambda=0, log_dir='../tmp/Aier_Eye//train_transe_model', lr=0.2, max_grad_norm=10.0, name='train_transe_model', num_neg_samples=10, seed=123, steps_per_checkpoint=100, weight_decay=0)
[INFO]  Parameters:['mentions', 'described_as', 'disease_symptom', 'disease_surgery', 'disease_drug', 'related_symptom', 'related_disease', 'have_disease.weight', 'have_symptom.weight', 'surgery.weight', 'drug.weight', 'word.weight', 'mentions_bias.weight', 'described_as_bias.weight', 'disease_symptom_bias.weight', 'disease_surgery_bias.weight', 'disease_drug_bias.weight', 'related_symptom_bias.weight', 'related_disease_bias.weight']
[INFO]  Epoch: 19 | Words: 716404/8726401 | Lr: 0.19672 | Smooth loss: 13.60011
[INFO]  Epoch: 19 | Words: 729204/8726401 | Lr: 0.19666 | Smooth loss: 13.57310
[INFO]  Epoch: 20 | Words: 741982/8726401 | Lr: 0.19660 | Smooth loss: 13.37532
[INFO]  Epoch: 20 | Words: 754782/8726401 | Lr: 0.19654 | Smooth loss: 13.26744
[INFO]  Epoch: 20 | Words: 767582/8726401 | Lr: 0.19648 | Smooth loss: 13.24697
[INFO]  Epoch: 21 | Words: 780360/8726401 | Lr: 0.19642 | Smooth loss: 13.28915
[INFO]  Epoch: 21 | Words: 793160/8726401 | Lr: 0.19636 | Smooth loss: 13.27770
[INFO]  Epoch: 21 | Words: 805960/8726401 | Lr: 0.19631 | Smooth loss: 13.08423
[INFO]  Epoch: 22 | Words: 818738/8726401 | Lr: 0.19625 | Smooth loss: 13.20506
[INFO]  Epoch: 22 | Words: 831538/8726401 | Lr: 0.19619 | Smooth loss: 13.15158
[INFO]  Epoch: 22 | Words: 844338/8726401 | Lr: 0.19613 | Smooth loss: 12.72577
[INFO]  Epoch: 23 | Words: 857116/8726401 | Lr: 0.19607 | Smooth loss: 13.13268
[INFO]  Epoch: 23 | Words: 869916/8726401 | Lr: 0.19601 | Smooth loss: 12.67286
[INFO]  Epoch: 23 | Words: 882716/8726401 | Lr: 0.19595 | Smooth loss: 13.10747
[INFO]  Epoch: 24 | Words: 895494/8726401 | Lr: 0.19590 | Smooth loss: 12.72867
[INFO]  Epoch: 24 | Words: 908294/8726401 | Lr: 0.19584 | Smooth loss: 12.72362
[INFO]  Epoch: 24 | Words: 921094/8726401 | Lr: 0.19578 | Smooth loss: 12.89782
[INFO]  Epoch: 25 | Words: 933872/8726401 | Lr: 0.19572 | Smooth loss: 12.38419
[INFO]  Epoch: 25 | Words: 946672/8726401 | Lr: 0.19566 | Smooth loss: 12.53127
[INFO]  Epoch: 25 | Words: 959472/8726401 | Lr: 0.19560 | Smooth loss: 12.65021
[INFO]  Epoch: 26 | Words: 972250/8726401 | Lr: 0.19554 | Smooth loss: 12.47417
[INFO]  Epoch: 26 | Words: 985050/8726401 | Lr: 0.19549 | Smooth loss: 12.25402
[INFO]  Epoch: 26 | Words: 997850/8726401 | Lr: 0.19543 | Smooth loss: 12.48759
[INFO]  Epoch: 27 | Words: 1010628/8726401 | Lr: 0.19537 | Smooth loss: 12.48096
[INFO]  Epoch: 27 | Words: 1023428/8726401 | Lr: 0.19531 | Smooth loss: 12.22265
[INFO]  Epoch: 27 | Words: 1036228/8726401 | Lr: 0.19525 | Smooth loss: 12.17142
[INFO]  Epoch: 28 | Words: 1049006/8726401 | Lr: 0.19519 | Smooth loss: 12.40982
[INFO]  Epoch: 28 | Words: 1061806/8726401 | Lr: 0.19513 | Smooth loss: 12.11365
[INFO]  Epoch: 28 | Words: 1074606/8726401 | Lr: 0.19507 | Smooth loss: 12.04317
[INFO]  Epoch: 29 | Words: 1087384/8726401 | Lr: 0.19502 | Smooth loss: 12.29470
[INFO]  Epoch: 29 | Words: 1100184/8726401 | Lr: 0.19496 | Smooth loss: 12.34083
[INFO]  Epoch: 29 | Words: 1112984/8726401 | Lr: 0.19490 | Smooth loss: 12.11491
[INFO]  Epoch: 30 | Words: 1125762/8726401 | Lr: 0.19484 | Smooth loss: 12.13629
[INFO]  Epoch: 30 | Words: 1138562/8726401 | Lr: 0.19478 | Smooth loss: 11.93645
[INFO]  Epoch: 30 | Words: 1151362/8726401 | Lr: 0.19472 | Smooth loss: 12.27891
[INFO]  Epoch: 31 | Words: 1164140/8726401 | Lr: 0.19466 | Smooth loss: 11.68340
[INFO]  Epoch: 31 | Words: 1176940/8726401 | Lr: 0.19461 | Smooth loss: 11.82587
[INFO]  Epoch: 31 | Words: 1189740/8726401 | Lr: 0.19455 | Smooth loss: 12.14547
[INFO]  Epoch: 32 | Words: 1202518/8726401 | Lr: 0.19449 | Smooth loss: 12.00201
[INFO]  Epoch: 32 | Words: 1215318/8726401 | Lr: 0.19443 | Smooth loss: 11.78601
[INFO]  Epoch: 32 | Words: 1228118/8726401 | Lr: 0.19437 | Smooth loss: 11.89219
[INFO]  Epoch: 33 | Words: 1240896/8726401 | Lr: 0.19431 | Smooth loss: 11.93226
[INFO]  Epoch: 33 | Words: 1253696/8726401 | Lr: 0.19425 | Smooth loss: 11.95957
[INFO]  Epoch: 33 | Words: 1266496/8726401 | Lr: 0.19420 | Smooth loss: 11.94110
[INFO]  Epoch: 34 | Words: 1279274/8726401 | Lr: 0.19414 | Smooth loss: 11.71898
[INFO]  Epoch: 34 | Words: 1292074/8726401 | Lr: 0.19408 | Smooth loss: 11.73930
[INFO]  Epoch: 34 | Words: 1304874/8726401 | Lr: 0.19402 | Smooth loss: 11.72157
[INFO]  Epoch: 34 | Words: 1317674/8726401 | Lr: 0.19396 | Smooth loss: 11.55331
[INFO]  Epoch: 35 | Words: 1330452/8726401 | Lr: 0.19390 | Smooth loss: 11.72126
[INFO]  Epoch: 35 | Words: 1343252/8726401 | Lr: 0.19384 | Smooth loss: 11.79315
[INFO]  Epoch: 35 | Words: 1356052/8726401 | Lr: 0.19378 | Smooth loss: 11.64178
[INFO]  Epoch: 36 | Words: 1368830/8726401 | Lr: 0.19373 | Smooth loss: 11.51445
[INFO]  Epoch: 36 | Words: 1381630/8726401 | Lr: 0.19367 | Smooth loss: 11.63913
[INFO]  Epoch: 36 | Words: 1394430/8726401 | Lr: 0.19361 | Smooth loss: 11.59801
[INFO]  Epoch: 37 | Words: 1407208/8726401 | Lr: 0.19355 | Smooth loss: 11.68693
[INFO]  Epoch: 37 | Words: 1420008/8726401 | Lr: 0.19349 | Smooth loss: 11.37577
[INFO]  Epoch: 37 | Words: 1432808/8726401 | Lr: 0.19343 | Smooth loss: 11.60443
[INFO]  Epoch: 38 | Words: 1445586/8726401 | Lr: 0.19337 | Smooth loss: 11.54701
[INFO]  Epoch: 38 | Words: 1458386/8726401 | Lr: 0.19332 | Smooth loss: 11.49898
[INFO]  Epoch: 38 | Words: 1471186/8726401 | Lr: 0.19326 | Smooth loss: 11.44523
[INFO]  Epoch: 39 | Words: 1483964/8726401 | Lr: 0.19320 | Smooth loss: 11.41556
[INFO]  Epoch: 39 | Words: 1496764/8726401 | Lr: 0.19314 | Smooth loss: 11.41937
[INFO]  Epoch: 39 | Words: 1509564/8726401 | Lr: 0.19308 | Smooth loss: 11.49295
[INFO]  Epoch: 40 | Words: 1522342/8726401 | Lr: 0.19302 | Smooth loss: 11.37508
[INFO]  Epoch: 40 | Words: 1535142/8726401 | Lr: 0.19296 | Smooth loss: 11.44917
[INFO]  Epoch: 40 | Words: 1547942/8726401 | Lr: 0.19291 | Smooth loss: 11.24196
[INFO]  Epoch: 41 | Words: 1560720/8726401 | Lr: 0.19285 | Smooth loss: 11.23011
[INFO]  Epoch: 41 | Words: 1573520/8726401 | Lr: 0.19279 | Smooth loss: 11.32036
[INFO]  Epoch: 41 | Words: 1586320/8726401 | Lr: 0.19273 | Smooth loss: 11.41073
[INFO]  Epoch: 42 | Words: 1599098/8726401 | Lr: 0.19267 | Smooth loss: 11.08390
[INFO]  Epoch: 42 | Words: 1611898/8726401 | Lr: 0.19261 | Smooth loss: 11.33079
[INFO]  Epoch: 42 | Words: 1624698/8726401 | Lr: 0.19255 | Smooth loss: 11.25767
[INFO]  Epoch: 43 | Words: 1637476/8726401 | Lr: 0.19249 | Smooth loss: 11.01102
[INFO]  Epoch: 43 | Words: 1650276/8726401 | Lr: 0.19244 | Smooth loss: 11.22347
[INFO]  Epoch: 43 | Words: 1663076/8726401 | Lr: 0.19238 | Smooth loss: 11.29436
[INFO]  Epoch: 44 | Words: 1675854/8726401 | Lr: 0.19232 | Smooth loss: 11.11611
[INFO]  Epoch: 44 | Words: 1688654/8726401 | Lr: 0.19226 | Smooth loss: 11.03584
[INFO]  Epoch: 44 | Words: 1701454/8726401 | Lr: 0.19220 | Smooth loss: 10.99181
[INFO]  Epoch: 45 | Words: 1714232/8726401 | Lr: 0.19214 | Smooth loss: 11.06735
[INFO]  Epoch: 45 | Words: 1727032/8726401 | Lr: 0.19208 | Smooth loss: 11.03887
[INFO]  Epoch: 45 | Words: 1739832/8726401 | Lr: 0.19203 | Smooth loss: 11.11575
[INFO]  Epoch: 46 | Words: 1752610/8726401 | Lr: 0.19197 | Smooth loss: 10.99667
[INFO]  Epoch: 46 | Words: 1765410/8726401 | Lr: 0.19191 | Smooth loss: 10.90154
[INFO]  Epoch: 46 | Words: 1778210/8726401 | Lr: 0.19185 | Smooth loss: 11.21984
[INFO]  Epoch: 47 | Words: 1790988/8726401 | Lr: 0.19179 | Smooth loss: 11.13149
[INFO]  Epoch: 47 | Words: 1803788/8726401 | Lr: 0.19173 | Smooth loss: 10.89887
[INFO]  Epoch: 47 | Words: 1816588/8726401 | Lr: 0.19167 | Smooth loss: 10.76252
[INFO]  Epoch: 48 | Words: 1829366/8726401 | Lr: 0.19162 | Smooth loss: 10.82159
[INFO]  Epoch: 48 | Words: 1842166/8726401 | Lr: 0.19156 | Smooth loss: 11.26167
[INFO]  Epoch: 48 | Words: 1854966/8726401 | Lr: 0.19150 | Smooth loss: 11.17424
[INFO]  Epoch: 49 | Words: 1867744/8726401 | Lr: 0.19144 | Smooth loss: 10.92509
[INFO]  Epoch: 49 | Words: 1880544/8726401 | Lr: 0.19138 | Smooth loss: 10.76249
[INFO]  Epoch: 49 | Words: 1893344/8726401 | Lr: 0.19132 | Smooth loss: 10.94457
[INFO]  Epoch: 50 | Words: 1906122/8726401 | Lr: 0.19126 | Smooth loss: 10.77914
[INFO]  Epoch: 50 | Words: 1918922/8726401 | Lr: 0.19120 | Smooth loss: 10.94116
[INFO]  Epoch: 50 | Words: 1931722/8726401 | Lr: 0.19115 | Smooth loss: 10.81060
[INFO]  Epoch: 51 | Words: 1944500/8726401 | Lr: 0.19109 | Smooth loss: 10.95851
[INFO]  Epoch: 51 | Words: 1957300/8726401 | Lr: 0.19103 | Smooth loss: 10.52843
[INFO]  Epoch: 51 | Words: 1970100/8726401 | Lr: 0.19097 | Smooth loss: 11.00282
[INFO]  Epoch: 52 | Words: 1982878/8726401 | Lr: 0.19091 | Smooth loss: 10.84326
[INFO]  Epoch: 52 | Words: 1995678/8726401 | Lr: 0.19085 | Smooth loss: 10.71022
[INFO]  Epoch: 52 | Words: 2008478/8726401 | Lr: 0.19079 | Smooth loss: 10.70314
[INFO]  Epoch: 53 | Words: 2021256/8726401 | Lr: 0.19074 | Smooth loss: 10.67278
[INFO]  Epoch: 53 | Words: 2034056/8726401 | Lr: 0.19068 | Smooth loss: 10.77624
[INFO]  Epoch: 53 | Words: 2046856/8726401 | Lr: 0.19062 | Smooth loss: 10.52080
[INFO]  Epoch: 54 | Words: 2059634/8726401 | Lr: 0.19056 | Smooth loss: 10.78856
[INFO]  Epoch: 54 | Words: 2072434/8726401 | Lr: 0.19050 | Smooth loss: 10.63303
[INFO]  Epoch: 54 | Words: 2085234/8726401 | Lr: 0.19044 | Smooth loss: 10.69635
[INFO]  Epoch: 55 | Words: 2098012/8726401 | Lr: 0.19038 | Smooth loss: 10.73015
[INFO]  Epoch: 55 | Words: 2110812/8726401 | Lr: 0.19033 | Smooth loss: 10.69744
[INFO]  Epoch: 55 | Words: 2123612/8726401 | Lr: 0.19027 | Smooth loss: 10.41273
[INFO]  Epoch: 56 | Words: 2136390/8726401 | Lr: 0.19021 | Smooth loss: 10.91047
[INFO]  Epoch: 56 | Words: 2149190/8726401 | Lr: 0.19015 | Smooth loss: 10.75813
[INFO]  Epoch: 56 | Words: 2161990/8726401 | Lr: 0.19009 | Smooth loss: 10.64284
[INFO]  Epoch: 57 | Words: 2174768/8726401 | Lr: 0.19003 | Smooth loss: 10.65219
[INFO]  Epoch: 57 | Words: 2187568/8726401 | Lr: 0.18997 | Smooth loss: 10.65735
[INFO]  Epoch: 57 | Words: 2200368/8726401 | Lr: 0.18991 | Smooth loss: 10.59245
[INFO]  Epoch: 58 | Words: 2213146/8726401 | Lr: 0.18986 | Smooth loss: 10.69729
[INFO]  Epoch: 58 | Words: 2225946/8726401 | Lr: 0.18980 | Smooth loss: 10.64580
[INFO]  Epoch: 58 | Words: 2238746/8726401 | Lr: 0.18974 | Smooth loss: 10.52691
[INFO]  Epoch: 59 | Words: 2251524/8726401 | Lr: 0.18968 | Smooth loss: 10.54176
[INFO]  Epoch: 59 | Words: 2264324/8726401 | Lr: 0.18962 | Smooth loss: 10.58194
[INFO]  Epoch: 59 | Words: 2277124/8726401 | Lr: 0.18956 | Smooth loss: 10.63656
[INFO]  Epoch: 60 | Words: 2289902/8726401 | Lr: 0.18950 | Smooth loss: 10.41857
[INFO]  Epoch: 60 | Words: 2302702/8726401 | Lr: 0.18945 | Smooth loss: 10.63965
[INFO]  Epoch: 60 | Words: 2315502/8726401 | Lr: 0.18939 | Smooth loss: 10.57223
[INFO]  Epoch: 61 | Words: 2328280/8726401 | Lr: 0.18933 | Smooth loss: 10.49756
[INFO]  Epoch: 61 | Words: 2341080/8726401 | Lr: 0.18927 | Smooth loss: 10.50689
[INFO]  Epoch: 61 | Words: 2353880/8726401 | Lr: 0.18921 | Smooth loss: 10.52946
[INFO]  Epoch: 62 | Words: 2366658/8726401 | Lr: 0.18915 | Smooth loss: 10.54765
[INFO]  Epoch: 62 | Words: 2379458/8726401 | Lr: 0.18909 | Smooth loss: 10.43391
[INFO]  Epoch: 62 | Words: 2392258/8726401 | Lr: 0.18903 | Smooth loss: 10.43192
[INFO]  Epoch: 63 | Words: 2405036/8726401 | Lr: 0.18898 | Smooth loss: 10.58001
[INFO]  Epoch: 63 | Words: 2417836/8726401 | Lr: 0.18892 | Smooth loss: 10.36071
[INFO]  Epoch: 63 | Words: 2430636/8726401 | Lr: 0.18886 | Smooth loss: 10.48988
[INFO]  Epoch: 64 | Words: 2443414/8726401 | Lr: 0.18880 | Smooth loss: 10.63212
[INFO]  Epoch: 64 | Words: 2456214/8726401 | Lr: 0.18874 | Smooth loss: 10.65655
[INFO]  Epoch: 64 | Words: 2469014/8726401 | Lr: 0.18868 | Smooth loss: 10.34127
[INFO]  Epoch: 65 | Words: 2481792/8726401 | Lr: 0.18862 | Smooth loss: 10.47774
[INFO]  Epoch: 65 | Words: 2494592/8726401 | Lr: 0.18857 | Smooth loss: 10.37338
[INFO]  Epoch: 65 | Words: 2507392/8726401 | Lr: 0.18851 | Smooth loss: 10.52596
[INFO]  Epoch: 66 | Words: 2520170/8726401 | Lr: 0.18845 | Smooth loss: 10.47017
[INFO]  Epoch: 66 | Words: 2532970/8726401 | Lr: 0.18839 | Smooth loss: 10.41704
[INFO]  Epoch: 66 | Words: 2545770/8726401 | Lr: 0.18833 | Smooth loss: 10.37887
[INFO]  Epoch: 67 | Words: 2558548/8726401 | Lr: 0.18827 | Smooth loss: 10.49591
[INFO]  Epoch: 67 | Words: 2571348/8726401 | Lr: 0.18821 | Smooth loss: 10.36760
[INFO]  Epoch: 67 | Words: 2584148/8726401 | Lr: 0.18816 | Smooth loss: 10.36102
[INFO]  Epoch: 67 | Words: 2596948/8726401 | Lr: 0.18810 | Smooth loss: 10.25178
[INFO]  Epoch: 68 | Words: 2609726/8726401 | Lr: 0.18804 | Smooth loss: 10.32570
[INFO]  Epoch: 68 | Words: 2622526/8726401 | Lr: 0.18798 | Smooth loss: 10.34360
[INFO]  Epoch: 68 | Words: 2635326/8726401 | Lr: 0.18792 | Smooth loss: 10.21094
[INFO]  Epoch: 69 | Words: 2648104/8726401 | Lr: 0.18786 | Smooth loss: 10.24890
[INFO]  Epoch: 69 | Words: 2660904/8726401 | Lr: 0.18780 | Smooth loss: 10.48457
[INFO]  Epoch: 69 | Words: 2673704/8726401 | Lr: 0.18774 | Smooth loss: 10.28525
[INFO]  Epoch: 70 | Words: 2686482/8726401 | Lr: 0.18769 | Smooth loss: 10.14706
[INFO]  Epoch: 70 | Words: 2699282/8726401 | Lr: 0.18763 | Smooth loss: 10.43857
[INFO]  Epoch: 70 | Words: 2712082/8726401 | Lr: 0.18757 | Smooth loss: 10.36915
[INFO]  Epoch: 71 | Words: 2724860/8726401 | Lr: 0.18751 | Smooth loss: 10.24806
[INFO]  Epoch: 71 | Words: 2737660/8726401 | Lr: 0.18745 | Smooth loss: 10.23243
[INFO]  Epoch: 71 | Words: 2750460/8726401 | Lr: 0.18739 | Smooth loss: 10.34116
[INFO]  Epoch: 72 | Words: 2763238/8726401 | Lr: 0.18733 | Smooth loss: 10.28835
[INFO]  Epoch: 72 | Words: 2776038/8726401 | Lr: 0.18728 | Smooth loss: 10.11150
[INFO]  Epoch: 72 | Words: 2788838/8726401 | Lr: 0.18722 | Smooth loss: 10.23161
[INFO]  Epoch: 73 | Words: 2801616/8726401 | Lr: 0.18716 | Smooth loss: 10.42289
[INFO]  Epoch: 73 | Words: 2814416/8726401 | Lr: 0.18710 | Smooth loss: 10.23350
[INFO]  Epoch: 73 | Words: 2827216/8726401 | Lr: 0.18704 | Smooth loss: 10.27708
[INFO]  Epoch: 74 | Words: 2839994/8726401 | Lr: 0.18698 | Smooth loss: 10.33470
[INFO]  Epoch: 74 | Words: 2852794/8726401 | Lr: 0.18692 | Smooth loss: 10.27989
[INFO]  Epoch: 74 | Words: 2865594/8726401 | Lr: 0.18687 | Smooth loss: 10.19697
[INFO]  Epoch: 75 | Words: 2878372/8726401 | Lr: 0.18681 | Smooth loss: 10.22001
[INFO]  Epoch: 75 | Words: 2891172/8726401 | Lr: 0.18675 | Smooth loss: 10.39439
[INFO]  Epoch: 75 | Words: 2903972/8726401 | Lr: 0.18669 | Smooth loss: 10.29600
[INFO]  Epoch: 76 | Words: 2916750/8726401 | Lr: 0.18663 | Smooth loss: 10.19764
[INFO]  Epoch: 76 | Words: 2929550/8726401 | Lr: 0.18657 | Smooth loss: 10.24300
[INFO]  Epoch: 76 | Words: 2942350/8726401 | Lr: 0.18651 | Smooth loss: 10.19945
[INFO]  Epoch: 77 | Words: 2955128/8726401 | Lr: 0.18645 | Smooth loss: 10.27149
[INFO]  Epoch: 77 | Words: 2967928/8726401 | Lr: 0.18640 | Smooth loss: 10.23737
[INFO]  Epoch: 77 | Words: 2980728/8726401 | Lr: 0.18634 | Smooth loss: 10.12207
[INFO]  Epoch: 78 | Words: 2993506/8726401 | Lr: 0.18628 | Smooth loss: 10.08564
[INFO]  Epoch: 78 | Words: 3006306/8726401 | Lr: 0.18622 | Smooth loss: 10.17406
[INFO]  Epoch: 78 | Words: 3019106/8726401 | Lr: 0.18616 | Smooth loss: 10.20306
[INFO]  Epoch: 79 | Words: 3031884/8726401 | Lr: 0.18610 | Smooth loss: 10.02568
[INFO]  Epoch: 79 | Words: 3044684/8726401 | Lr: 0.18604 | Smooth loss: 10.13408
[INFO]  Epoch: 79 | Words: 3057484/8726401 | Lr: 0.18599 | Smooth loss: 10.18661
[INFO]  Epoch: 80 | Words: 3070262/8726401 | Lr: 0.18593 | Smooth loss: 10.13446
[INFO]  Epoch: 80 | Words: 3083062/8726401 | Lr: 0.18587 | Smooth loss: 10.16903
[INFO]  Epoch: 80 | Words: 3095862/8726401 | Lr: 0.18581 | Smooth loss: 10.12206
[INFO]  Epoch: 81 | Words: 3108640/8726401 | Lr: 0.18575 | Smooth loss: 10.38557
[INFO]  Epoch: 81 | Words: 3121440/8726401 | Lr: 0.18569 | Smooth loss: 9.96384
[INFO]  Epoch: 81 | Words: 3134240/8726401 | Lr: 0.18563 | Smooth loss: 10.17448
[INFO]  Epoch: 82 | Words: 3147018/8726401 | Lr: 0.18558 | Smooth loss: 10.14007
[INFO]  Epoch: 82 | Words: 3159818/8726401 | Lr: 0.18552 | Smooth loss: 10.15808
[INFO]  Epoch: 82 | Words: 3172618/8726401 | Lr: 0.18546 | Smooth loss: 10.22072
[INFO]  Epoch: 83 | Words: 3185396/8726401 | Lr: 0.18540 | Smooth loss: 10.05624
[INFO]  Epoch: 83 | Words: 3198196/8726401 | Lr: 0.18534 | Smooth loss: 9.82918
[INFO]  Epoch: 83 | Words: 3210996/8726401 | Lr: 0.18528 | Smooth loss: 10.17070
[INFO]  Epoch: 84 | Words: 3223774/8726401 | Lr: 0.18522 | Smooth loss: 10.37360
[INFO]  Epoch: 84 | Words: 3236574/8726401 | Lr: 0.18516 | Smooth loss: 10.01676
[INFO]  Epoch: 84 | Words: 3249374/8726401 | Lr: 0.18511 | Smooth loss: 10.14382
[INFO]  Epoch: 85 | Words: 3262152/8726401 | Lr: 0.18505 | Smooth loss: 10.27947
